Postal code	Free-time residences	Buildings, total	Other buildings	Residential buildings	Dwellings	Average floor area	Dwellings in small houses	Dwellings in blocks of flats	Aged 18 or over, total	Basic level studies	With education, total	Matriculation examination	Vocational diploma	Academic degree - Lower level university degree	Academic degree - Higher level university degree	Inhabitants, total	Inhabitants aged 18-64	Employment rate %	Unemployment rate %	Economic dependency ratio	Inhabitants, total	Females	Males	Average age of inhabitants	Households, total	Average size of households	Occupancy rate	Young single persons	Young couples without children	Households with children	Households with small children	Households with children under school age	Households with school-age children	Households with teenagers	Adult households	Pensioner households	Households living in owner-occupied dwellings	Households living in rented dwellings	Households living in other dwellings	Area	Density	Surface area	0-15 years	16-34 years	35-64 years	65 years or over
00100	0.0	634.0	326.0	308.0	11884.0	65.9	2.0	11882.0	16159.0	1996.0	14163.0	2618.0	2942.0	2899.0	5704.0	18284.0	13020.0	78.4	6.4	77.0	18284.0	9613.0	8671.0	41.0	10205.0	1.8	38.6	2101.0	861.0	1326.0	400.0	715.0	541.0	373.0	6578.0	2345.0	4742.0	5103.0	360.0	 Helsinki Keskusta - Etu-Töölö   (Helsinki	7769.58778350879	2353278.0	1940.0	6534.0	6671.0	3139.0
00120	0.0	248.0	100.0	148.0	4446.0	68.9	7.0	4439.0	6170.0	805.0	5365.0	1058.0	1195.0	969.0	2143.0	7108.0	5020.0	78.2	6.5	78.0	7108.0	3751.0	3357.0	40.0	3933.0	1.8	39.4	708.0	328.0	581.0	166.0	305.0	236.0	165.0	2501.0	869.0	2023.0	1744.0	166.0	 Punavuori   (Helsinki)	17168.66742349219	414010.0	864.0	2333.0	2761.0	1150.0
00130	0.0	142.0	108.0	34.0	915.0	75.0	0.0	915.0	1307.0	142.0	1165.0	242.0	224.0	199.0	500.0	1508.0	1055.0	78.5	4.7	80.0	1508.0	772.0	736.0	41.0	818.0	1.8	43.5	142.0	63.0	128.0	32.0	66.0	49.0	38.0	509.0	186.0	421.0	363.0	34.0	 Kaartinkaupunki   (Helsinki)	3515.4792987691158	428960.0	177.0	473.0	606.0	252.0
00140	0.0	248.0	75.0	173.0	5439.0	73.8	14.0	5425.0	6767.0	821.0	5946.0	1082.0	1288.0	1143.0	2433.0	7865.0	5298.0	77.5	6.0	89.0	7865.0	4277.0	3588.0	41.0	4404.0	1.8	41.7	764.0	345.0	693.0	205.0	361.0	285.0	199.0	2615.0	1112.0	2196.0	2000.0	208.0	 Kaivopuisto - Ullanlinna   (Helsinki)	8440.281120920843	931841.0	1006.0	2359.0	3031.0	1469.0
00150	2.0	372.0	107.0	265.0	6759.0	55.5	32.0	6727.0	8408.0	1129.0	7279.0	1395.0	1675.0	1478.0	2731.0	9496.0	7004.0	77.9	7.4	72.0	9496.0	5129.0	4367.0	40.0	5759.0	1.6	34.1	1384.0	478.0	708.0	223.0	410.0	279.0	160.0	3968.0	1097.0	2802.0	2707.0	250.0	 Eira - Hernesaari   (Helsinki)	6944.932013386693	1367328.0	1013.0	3434.0	3645.0	1404.0
00160	0.0	141.0	63.0	78.0	2706.0	76.4	2.0	2704.0	3814.0	575.0	3239.0	517.0	843.0	608.0	1271.0	4541.0	2722.0	75.6	6.5	117.0	4541.0	2411.0	2130.0	44.0	2304.0	2.0	40.2	161.0	143.0	432.0	117.0	217.0	175.0	146.0	1087.0	792.0	1201.0	1019.0	84.0	 Katajanokka   (Helsinki)	8391.605807042963	541136.0	661.0	1017.0	1771.0	1092.0
00170	0.0	265.0	131.0	134.0	4642.0	68.2	9.0	4633.0	6423.0	736.0	5687.0	1007.0	1197.0	1059.0	2424.0	7461.0	5184.0	79.4	6.2	79.0	7461.0	4024.0	3437.0	41.0	4036.0	1.8	38.1	675.0	268.0	657.0	193.0	352.0	254.0	212.0	2455.0	945.0	2098.0	1794.0	144.0	 Kruununhaka   (Helsinki)	10459.204057515108	713343.0	933.0	2334.0	2955.0	1239.0
00180	0.0	339.0	150.0	189.0	8700.0	59.4	80.0	8620.0	11945.0	2194.0	9751.0	1669.0	2862.0	2105.0	3115.0	13872.0	9983.0	76.6	7.8	80.0	13872.0	7219.0	6653.0	39.0	7666.0	1.8	33.5	1328.0	634.0	1208.0	400.0	698.0	455.0	315.0	4936.0	1551.0	3070.0	4367.0	229.0	 Kamppi - Ruoholahti   (Helsinki)	7994.039047008199	1735293.0	1760.0	4779.0	5371.0	1962.0
00190	0.0	116.0	59.0	57.0	408.0	69.6	85.0	323.0	559.0	87.0	472.0	72.0	174.0	75.0	151.0	743.0	473.0	78.2	8.9	100.0	743.0	372.0	371.0	38.0	308.0	2.4	30.9	0.0	8.0	104.0	16.0	45.0	59.0	32.0	142.0	64.0	10.0	279.0	19.0	 Suomenlinna   (Helsinki)	971.2265951383768	765012.0	171.0	114.0	372.0	86.0
00200	5.0	592.0	60.0	532.0	9341.0	60.2	492.0	8849.0	13271.0	1691.0	11580.0	1817.0	2804.0	2448.0	4511.0	15786.0	10577.0	81.1	6.4	82.0	15786.0	8511.0	7275.0	40.0	8688.0	1.8	33.5	1531.0	792.0	1533.0	473.0	893.0	637.0	367.0	5113.0	2072.0	4836.0	3556.0	296.0	 Lauttasaari   (Helsinki)	6026.492746142869	2619434.0	2333.0	4929.0	5830.0	2694.0
00210	0.0	239.0	95.0	144.0	4816.0	70.0	41.0	4775.0	6958.0	846.0	6112.0	724.0	1627.0	1263.0	2498.0	8412.0	5197.0	81.9	5.4	96.0	8412.0	4523.0	3889.0	42.0	4397.0	1.9	37.0	442.0	329.0	919.0	304.0	545.0	369.0	219.0	2197.0	1297.0	2954.0	1334.0	109.0	 Vattuniemi   (Helsinki)	5690.624067713826	1478221.0	1357.0	1940.0	3354.0	1761.0
00220	0.0	74.0	26.0	48.0	3372.0	55.0	0.0	3372.0	5038.0	607.0	4431.0	1047.0	1107.0	1086.0	1191.0	5884.0	4660.0	76.9	5.2	63.0	5884.0	3095.0	2789.0	32.0	3185.0	1.8	29.8	825.0	530.0	552.0	216.0	372.0	149.0	104.0	2345.0	295.0	688.0	2470.0	27.0	 Jätkäsaari   (Helsinki)	8592.528122129557	684781.0	791.0	3016.0	1699.0	378.0
00230	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	 Ilmala   (Helsinki)	0.0	171851.0	0.0	0.0	0.0	0.0
00240	0.0	205.0	91.0	114.0	2988.0	62.8	14.0	2974.0	4556.0	888.0	3668.0	564.0	1342.0	795.0	967.0	5254.0	3486.0	73.6	9.8	103.0	5254.0	2863.0	2391.0	42.0	2780.0	1.9	33.5	225.0	250.0	432.0	148.0	248.0	153.0	124.0	1544.0	813.0	1174.0	1562.0	44.0	 Länsi-Pasila   (Helsinki)	2233.2804696775006	2352593.0	621.0	1703.0	1860.0	1070.0
00250	0.0	411.0	129.0	282.0	7777.0	53.8	73.0	7704.0	10013.0	1270.0	8743.0	1589.0	2120.0	1949.0	3085.0	11277.0	8332.0	79.4	6.5	69.0	11277.0	6206.0	5071.0	39.0	6796.0	1.6	33.5	1723.0	635.0	811.0	284.0	481.0	281.0	194.0	4683.0	1323.0	3077.0	3457.0	262.0	 Taka-Töölö   (Helsinki)	3684.2899680283217	3060834.0	1170.0	4496.0	3930.0	1681.0
